url,id,title,description,projects,labels,assignees,milestone,status
https://github.com/blackbaud/skyux2/issues/631,631,"Use npm shrinkwrap for dependencies",,projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/630,630,"Cannot run e2e tests if productId is configured for help","### Expected behavior
E2e tests should run

### Actual behavior
E2e tests hang

### Steps to reproduce
We have the following help configuration in our skyuxconfig.json:
""help"": {
    ""productId"": ""bbid""
  }

When I run e2e tests I get the following error:  Type '{ ""mode"": string; ""host"": { ""url"": string; }; ""app"": { ""title"": string; }; ""compileMode"": string;...'  is not assignable to type 'SkyuxConfig'. Types of property 'help' are incompatible. Type '{ ""productId"": string; }' is not assignable to type 'SkyuxConfigHelp'. Object literal may only specify known properties, and '""productId""' does not exist in type 'SkyuxConfigHelp'.

If I remove the help configuration then e2e tests run fine.",projects,"bug,builder","Blackbaud-BobbyEarl",Block 3 Sprint 1 - 4/28/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/626,626,"Document updated Karma path for unit tests","Update existing docs to reflect change in https://github.com/blackbaud/skyux-builder/pull/118/files",projects,"documentation","blackbaud-johnly",Block 2 Sprint 8 - 4/21/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/622,622,"I need to swap connection strings / settings for local development vs production","I need a place in skyuxconfig.json to let me add generic app settings, so I can have different values for the production build vs when I run skyux serve locally.",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/621,621,"Wizard plunker demo throws an error when opening modal","### Expected behavior
Click button, modal with wizard style tabs opens.
### Actual behavior
No modal opens, the following error is displayed in console: `EXCEPTION: Error in wizard-demo.component.html:0:0 caused by: No component factory found for SkyWizardDemoFormComponent. Did you add it to @NgModule.entryComponents?`

### Plunker with possible fix
https://plnkr.co/edit/ssdMDvPIUWShCYKxeFAJ?p=preview
",projects,"bug,documentation","",,open,undefined
https://github.com/blackbaud/skyux2/issues/620,620,"e2e fails on Windows after Builder beta 18","### Expected behavior
When I run `skyux e2e` the test should run

### Actual behavior
On Windows only, after upgrading to Sky App Builder beta 18 `skyux e2e` fails due to `The system path cannot find the path specified` when trying to start Protractor

### Steps to reproduce
1. Do a `skyux new`
2. Change `package.json` to Sky App Builder beta 18
3. Do a fresh `npm install`
4. Run `skyux e2e` 
5. Observe",projects,"builder","",,closed,undefined
https://github.com/blackbaud/skyux2/issues/617,617,"text-expand component: maxLength not working","### Expected behavior
To display more text than the default (200 characters) if `maxLength` property set.

### Actual behavior
Just truncates text to the default (200 characters).

### Steps to reproduce
Setup component with `maxLength` property.

### Plunker (see example SKY UX 2 plunker template at: https://embed.plnkr.co/cPPULcTfyzUm2rouCgk2/
",projects,"bug,sky-text-expand","",,closed,undefined
https://github.com/blackbaud/skyux2/issues/615,615,"Feature request: use semantic versioning","Just a request for the the library to use semantic versioning (http://semver.org) so users can have a better handle on breaking changes (like when you update the angular dependencies, etc.).

Also, is there a recommended way to get alerts when your team releases a new npm package?",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/614,614,"Update self-signed cert for local dev to include SubjectAltName","A recent change in Chrome 58 has caused SKY UX App Builder consumers to receive invalid certificate errors during local development.  This is because of a new requirement to include hostnames in the certificate's SubjectAltName field.  We need to update the cert to include this data and document the process existing developers need to do to reinstall the cert.

https://textslashplain.com/2017/03/10/chrome-deprecates-subject-cn-matching/
",projects,"bug,builder","Blackbaud-BobbyEarl",,closed,undefined
https://github.com/blackbaud/skyux2/issues/613,613,"text-expand AOT compilation failure","### Expected behavior
To be able to import and use the text-expand component with AOT compilation

### Actual behavior
AOT has the following errors:

```
ERROR in /test/src/$$_gendir/node_modules/@blackbaud/skyux/dist/modules/text-expand/text-expand.component.ngfactory.ts (257,18): Property 'containerEl' is private and only accessible within class 'SkyTextExpandComponent'.
/test/src/$$_gendir/node_modules/@blackbaud/skyux/dist/modules/text-expand/text-expand.component.ngfactory.ts (259,18): Property 'textEl' is private and only accessible within class 'SkyTextExpandComponent'.
/test/src/$$_gendir/node_modules/@blackbaud/skyux/dist/modules/text-expand/text-expand.component.ngfactory.ts (282,50): Property 'isExpanded' is private and only accessible within class 'SkyTextExpandComponent'.
/test/src/$$_gendir/node_modules/@blackbaud/skyux/dist/modules/text-expand/text-expand.component.ngfactory.ts (282,77): Property 'expandable' is private and only accessible within class 'SkyTextExpandComponent'.
/test/src/$$_gendir/node_modules/@blackbaud/skyux/dist/modules/text-expand/text-expand.component.ngfactory.ts (285,44): Property 'expandable' is private and only accessible within class 'SkyTextExpandComponent'.
```

### Steps to reproduce
compile using ngc or similar

### Version
2.0.0-beta.18",projects,"bug","Blackbaud-PatrickOFriel",Block 3 Sprint 1 - 4/28/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/607,607,"Investigate AOT strangeness","We have run into a couple issues when referencing SKYUX 2 classes from builder using AOT. SKY UX will build fine, but runtime errors occur when referencing non-component code like the `SkyMediaBreakpoints` enum, the `ListDataProvider` abstract class, and the `ListDataResponseModel` class. The commonalities with all of these are that they're 'vanilla' TypeScript, not Angular components or services or anything",projects,"bug","Blackbaud-PatrickOFriel",Block 3 Sprint 2 - 5/5/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/606,606,"Add a "primary" dropdown button","### Expected behavior
Dropdown button can be specified as primary and get primary styling

### Actual behavior
All dropdowns are standard/secondary
",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/605,605,"Document standard animation implementation","Document parameters and methods for our standard animations as a stopgap until animation can be componentized. 

Slide up/down and left/right
Expand/collapse
Emerge/recede",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/604,604,"Define padding & margins by usage","Define TRBL padding and margin by usage - e.g. for containers, controls, etc. ",projects,"needs design","Blackbaud-ToddRoberts",,open,undefined
https://github.com/blackbaud/skyux2/issues/603,603,"Add a fluid grid layout system","Add a grid layout system reflective of Bootstrap's. ",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/602,602,"Status text classes","Add text classes reflecting ""status"" of success, warning and danger. 

https://blackbaudinc.box.com/s/a80i6j3t4qu201wi8n8vzy004lhemlop",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/601,601,"Add command to CLI to link existing project to new repo","We should support the scenario where a user creates a project locally using `skyux new` and then needs to push it to a new repo.  The user can do this manually but it would be nice to create a command that does it automatically:

- User runs the command
- Existing files in the folder are copied to a `temp` folder
- The new remote repo is cloned to the directory
- Files are moved back out of `temp` folder into the main folder, overwriting any conflicts",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/600,600,"Grids have scrollbars on Windows","### Expected behavior
A grid that doesn't have data outside the viewport should not have scrollbard

### Actual behavior
On Windows, all Sky Grids (both list and non-list) have scrollbars even if the data fits in the view area

### Steps to reproduce
Go to the Sky docs for the Grid and List View Grid on a Windows machine and observe",projects,"bug,sky-grid","",,open,undefined
https://github.com/blackbaud/skyux2/issues/599,599,"Disabled Tabs are enabled on small screens","### Expected behavior
You should not be able to select a disabled tab no matter how the tabs are displayed.

### Actual behavior
When the screen size is small enough to require tabs to be placed in a drop down, disabled tabs are able to be selected

### Steps to reproduce
1. Go to the plunker sample below.
2. Shrink the preview screen until the tabs are placed in a drop down.
3. Notice that you can select the Disabled tab.

### Plunker
https://plnkr.co/edit/XH6aXA16tPW4lBfb1dXh?p=preview",projects,"bug,sky-tabset","",,open,undefined
https://github.com/blackbaud/skyux2/issues/598,598,"Update lists to watch for changes on data","Row now, the list component does not watch for normal data changes, it just sets it initially. It allows the user to set an Observable to the data input and push changes that way, but that does not seem to work when using a custom dataProvider without some rangling. Let's update the list component to have an onChanges hook that updates list data when the data input array is changed, not requiring an Observable to be used.",projects,"sky-listbuilder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/597,597,"GH issue export/download utility",,projects,"automation","Blackbaud-PatrickOFriel",Block 3 Sprint 2 - 5/5/2017,open,undefined
https://github.com/blackbaud/skyux2/issues/596,596,"Skyux test can timeout at a certain number of tests in the test suite.","### Expected behavior
Skyux test should be able to handle a lot of tests without timing out

### Actual behavior
When a certain number of tests is hit (this number changes based on machine setup) then the test runner for Skyux Test will hang after the first test is ran and then timeout. Through observation we were able to see that the hanging always occurs but gets longer the more tests that the suite has. 

### Steps to reproduce
Add a lot of tests to a Sky App Builder app and run ""skyux test"". We were able to reproduce the issue with around 40 tests using the VSTS Core Services queue but the number seems to vary by machine.

### Example of failed run
https://blackbaud.visualstudio.com/Products/Nautilus/_build/index?buildId=387579&_a=summary",projects,"builder,documentation","Blackbaud-PatrickOFriel",Block 3 Sprint 1 - 4/28/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/595,595,"Tests fail when importing `SkyAppTestModule`","### Expected behavior
Tests should not fail.

### Actual behavior
When I run `skyux test` with a spec file which imports `SkyAppTestModule`, I get the error: 'No provider for SkyAppConfig!'.  I'm not even importing `SkyAppConfig` or using it in my tests.

When i insert `SkyAppConfig` manually into the `SkyAppTestModule`'s list of providers, however, the tests pass.

The method that executes the tests has a conditional check for,

```
if (skyAppConfig.runtime.includeRouteModule) {
```

https://github.com/blackbaud/skyux-builder/blob/master/lib/sky-pages-module-generator.js#L54

This value is set to `false`, here: https://github.com/blackbaud/skyux-builder/blob/ffeabbaf6c5edfd169f4acb922ee74a4e890aec3/config/webpack/test.webpack.config.js#L21",projects,"bug,builder","",,closed,undefined
https://github.com/blackbaud/skyux2/issues/594,594,"File attachments does not restrict Windows 7 file selector window according to file types","### Expected behavior
OS file selector dropdown only has the provided acceptedTypes file types, which hides all files not of those types and prevents users from attempting to upload incorrect file types.
### Actual behavior
Clicking on 'click to browse' opens the OS file selector, but any file can be selected due to the dropdown showing 'All files'.
### Steps to reproduce
On Windows 7, open the file selector by clicking on the drag/upload button, note that all files are displayed and available for selection despite only specific file types are allowed. Untested on Mac or Linux.
### Plunker 
https://plnkr.co/edit/0PIVgL8XGonfcMm5jst5?p=preview",projects,"enhancement,sky-file-drop","Blackbaud-PatrickOFriel",Block 3 Sprint 2 - 5/5/2017,open,undefined
https://github.com/blackbaud/skyux2/issues/592,592,"File attachments allows MSI and JSON files to be uploaded despite not being in acceptedTypes","### Expected behavior
File attachments component would reject all files types except jpeg and png.
### Actual behavior
.MSI and .JSON files can be uploaded freely (though most other file types are properly rejected).
### Steps to reproduce
Upload an MSI or JSON file using the OS file selector or drag/drop one into the browser.
### Plunker 
https://plnkr.co/edit/0PIVgL8XGonfcMm5jst5?p=preview",projects,"bug,sky-file-drop","Blackbaud-PatrickOFriel",Block 3 Sprint 2 - 5/5/2017,open,undefined
https://github.com/blackbaud/skyux2/issues/590,590,"Add ability to run accessibility scripts like AXE",,projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/589,589,"Add ability to specify X-Frame-Options header to builder",,projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/587,587,"Button link hover shows default cursor instead of pointer","### Expected behavior
Hovering over an button with the `sky-btn-link` or `sky-btn-link-inline` CSS class should show a pointer cursor.

### Actual behavior
Hovering over an button with the `sky-btn-link` or `sky-btn-link-inline` CSS class should show the default cursor.

### Steps to reproduce

- Open the linked Plunker
- Hover over the link button

### Plunker (see example SKY UX 2 plunker template at: https://plnkr.co/edit/GeP22YbirEzceF3NVu39?p=preview)

https://plnkr.co/edit/dWcdTw5i9dBcPQ1k0G4K?p=preview",projects,"bug","Blackbaud-PatrickOFriel",Block 3 Sprint 1 - 4/28/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/586,586,"Sky-list initial sort state","Currently the sky-list docs state that the `sortFields` input accepts and object or an array. Right now it only accepts an array. We should update the docs, or make the input accept object values (preferable). 

Working: 

https://plnkr.co/edit/VzYgpipxULUanXwWSiFQ?p=preview

Not working: 

https://plnkr.co/edit/zqmrLgDhUnAFbX63xCiL?p=preview",projects,"bug,sky-listbuilder","Blackbaud-PatrickOFriel",Block 2 Sprint 8 - 4/21/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/585,585,"Document building and hosting outside of the SKY UX Host system","David Owens reached out to Matt Bodily for feedback on the SKY UX 2 docs based on his OTG team's experience. He said info about building and hosting outside of the SKY UX Host system was the only thing that he wasn't able to find in the docs.",projects,"builder,documentation","",,open,undefined
https://github.com/blackbaud/skyux2/issues/584,584,"Document how configuration is passed through the builder and runtime area","This came up when I asked Bobby about whether we needed to update any existing docs to reflect the changes in https://github.com/blackbaud/skyux-builder/pull/107. That PR doesn't affect current docs, but Bobby thought we should look into documenting some aspects of how config works.",projects,"builder,documentation","",,open,undefined
https://github.com/blackbaud/skyux2/issues/583,583,"Page-Selector modal pop up doesn't display all columns","### Expected behavior
Using the column-selector pops up a selector that shows all column headers as options.

### Actual behavior
Using the column-selector pops up a selector that shows the first 10 headers as options.

### Steps to reproduce
Attach a column-selector to a list with more than 10 columns.

### Plunker (see example SKY UX 2 plunker template at: https://plnkr.co/edit/GeP22YbirEzceF3NVu39?p=preview)
https://plnkr.co/edit/EGmpiz79hlA55Sr7sm66?p=preview",projects,"bug,sky-listbuilder","Blackbaud-PatrickOFriel",Block 2 Sprint 8 - 4/21/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/582,582,"Google Analytics","### Expected behavior
Sites should be able to configure and activate Google Analytics.

### Actual behavior
No analytics exist.

### Steps to reproduce
N/A",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/581,581,"Post Build Process - Service Worker Pre-cache for App Shell","Serving local static resources cache-first means that one can get all the crucial scaffolding for our SkyUX2 web app - The App Shell—on the screen without having to wait for any network responses.

### Expected behavior
1. Enable everyone to participate in the ecosystem of good!
2. Enable instant loading of our app shells: on, offline, or in high latency environments. 
3. Reduce network, cpu, I/O, memory usage of servers and increase load times

### Actual behavior
Online - App downloads from servers.
Offline - App does not load.
Latency - App takes a long time to load or will timeout.

### Steps to reproduce
Emulate a network disconnection or latency in chrome tools. 

### Resources
Service Worker Precache 
https://github.com/GoogleChrome/sw-precache#wrappers-and-starter-kits
Webpack Plugin for sw-precache
https://www.npmjs.com/package/sw-precache-webpack-plugin
Working SkyUX 2 Example
https://github.com/Blackbaud-JaminQuimby/OTG2017

",projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/578,578,"Add skyux build succeeded/failed message","### Expected behavior
When running `skyux build`, I would expect to see whether or not the build succeeded or failed at the very end of the output, preferably with green text when succeeded and red text when failed.  It would also be nice for any errors to be displayed right above the failed message when the build fails so you don't have to scroll up and track down failures.

### Actual behavior
You currently don't see a message stating whether or not the build succeeded or failed after running skyux build, and the developer has to start scrolling up many lines of text to try and see if any files had an error.",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/577,577,"Time picker","https://blackbaudinc.box.com/s/o9majdkqxj7r4c3wsn66jhazkv6lognu
Designer: Rob

Needs resolution around handling time zones",projects,"difficult,enhancement","",,open,undefined
https://github.com/blackbaud/skyux2/issues/576,576,"Detail panel/side panel","Approved.

Designer: Tim

Panel can contain arbitrary content. Styling/interaction as per RE implementation.

https://blackbaudinc.box.com/s/canqp79aar2b6bhza5y22mw1fqc9faau",projects,"","",,closed,undefined
https://github.com/blackbaud/skyux2/issues/575,575,"Inline add/edit/delete","Approved:
https://blackbaudinc.box.com/s/z5exryn0zxtboyshjqnr01zf26k7yftr

Designer: Todd",projects,"difficult,enhancement","",,open,undefined
https://github.com/blackbaud/skyux2/issues/574,574,"Simple confirmation dialog","Approved

Spec/guidelines:
https://blackbaudinc.box.com/s/vbsh14uhwqz0hqmqxbzihps7h97ttx5l

Designer: Adam",projects,"enhancement,intermediate","",,open,undefined
https://github.com/blackbaud/skyux2/issues/573,573,"Vertical tabs","https://blackbaudinc.box.com/s/4a6jg0ci2gzvish15aulmujntqnt3nwr
Approved
Designer: Tim

See also https://github.com/blackbaud/skyux/issues/899 ",projects,"enhancement,intermediate","",,open,undefined
https://github.com/blackbaud/skyux2/issues/572,572,"Enhancements for Avatar","Add an control for adding a picture when there is not one set (to make it more obvious that you can do so), and allow for clearing image.

https://blackbaudinc.box.com/s/1c8y649b645ko3wwjgjn71tlvc501t4d
Approved
Designer: Nicole",projects,"enhancement,intermediate","",,open,undefined
https://github.com/blackbaud/skyux2/issues/571,571,"Port & enhance Help Button from SkyUX","Updating the way help is invoked inline to use a blue info icon and give options for the action that is triggered. 

Spec:
https://blackbaudinc.box.com/s/gfsqrydxbxg80hjm1taozieb5ufjqiup

The help buttons in the Modal header and Omnibar should still use the question mark icon. 

Designer: Todd",projects,"beginner,enhancement","",,open,undefined
https://github.com/blackbaud/skyux2/issues/570,570,"Document how to use help service with builder",,projects,"builder,documentation","blackbaud-johnly",,open,undefined
https://github.com/blackbaud/skyux2/issues/568,568,"Card has double top padding when title & checkbox are turned off","## Expected behavior
Card should just have the 10px from the Content area when Title and Checkbox are turned off

## Actual behavior
It looks like the padding from the header bar is being maintained when the Title and Checkbox are turned off, so the card ends up having 20px top padding instead of 10px. ",projects,"beginner,bug,sky-card","Blackbaud-PatrickOFriel",Block 2 Sprint 8 - 4/21/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/565,565,"Plunker examples do not work in IE 11",,projects,"","",,open,undefined
https://github.com/blackbaud/skyux2/issues/564,564,"Modals with enough content to scroll do not scroll in IE11","I wish i could show you a plunker, but you know, your plunkers dont work on IE11. 

this was tested on WIndows 10 64 bit, IE 11 latest version.",projects,"bug,sky-modal","Blackbaud-PatrickOFriel",Block 2 Sprint 7 - 4/14/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/563,563,"Cannot read property substr of undefined","### Expected behavior

SKY UX App should work in production.

### Actual behavior

SKY UX app displays console error `TypeError: Cannot read property 'substr' of undefined`.
",projects,"bug,builder","Blackbaud-BobbyEarl",Block 2 Sprint 7 - 4/14/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/562,562,"Expose way to easily serve site after running build","Since we perform different steps when running `skyux build` regarding webpack, AOT, etc, it would be convenient to expose a mechanism to allow developers to ""serve"" their ""built"" files.

`skyux e2e` currently performs this, but also fires up protractor, etc.  Refactor that bit out and make callable.  I'm not sure if it makes more sense for this to be a new command or flag for one of the already exists commands.  Possibilities:

- `skyux serve --build`
- `skyux serve --prod`
- `skyux build --serve`",projects,"builder","",,open,undefined
https://github.com/blackbaud/skyux2/issues/558,558,"Document including a .scss for a component in the Create a component tutorial","I added a note to the Create a component tutorial to mention a `.scss` file, but Bobby recommended fleshing out the example in the tutorial to include a `.scss` file in the example. ",projects,"documentation","",,open,undefined
https://github.com/blackbaud/skyux2/issues/555,555,"Add support for static assets","- [x] Add a way to link static assets within an application https://github.com/blackbaud/skyux-builder/pull/101
- [x] Publish static assets to CDN https://github.com/blackbaud/skyux-deploy/pull/14
- [x] Pass `--assets` flag pointing to CDN when running `skyux build` in CI.
- [ ] Document where to create the `assets` folder and how to reference them using `~/assets/`",projects,"builder,difficult","Blackbaud-BobbyEarl,blackbaud-johnly",Block 3 Sprint 1 - 4/28/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/554,554,"Add infrastructure around pact testing","Make configuring an e2e test using pact testing simple like we did with `SkyAppTestModule`.",projects,"automation,builder,difficult","",,open,undefined
https://github.com/blackbaud/skyux2/issues/553,553,"Add infrastructure around e2e testing for consumers using auth","We need a way to mock out auth features such as redirecting users to the signin page during e2e tests.",projects,"automation,builder,intermediate","Blackbaud-PaulCrowder",Block 2 Sprint 8 - 4/21/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/552,552,"Localization features in builder","We need to provide a way for consumers to cite localized strings in their code.",projects,"builder,difficult,i18n","",,open,undefined
https://github.com/blackbaud/skyux2/issues/551,551,"Fill in missing CSS styles","- [ ] What should be the default padding for page contents outside a summary section and tile dashboard?  Currently the text just runs up to the left side of the screen since we have no CSS class to wrap around it.

- [ ] We need to think about common form layouts.  We’ve been getting pinged about the Bootstrap grid system, and this is mostly due to a lack of definition around common form layouts so developers are trying to one-off each design using generic CSS styles.

- [ ] Decide on whether we truly need a grid system.",projects,"difficult,enhancement","",,open,undefined
https://github.com/blackbaud/skyux2/issues/550,550,"Implement theming capabilities using CSS styles","- [ ] Use YAML format presented by @Blackbaud-ToddRoberts to create both documentation and stylesheet
- [ ] Generate SASS variables and CSS classes that contain common colors and styles so an application can be themed without rebuilding the app

 ",projects,"difficult,enhancement","",,open,undefined
https://github.com/blackbaud/skyux2/issues/549,549,"Upgrade to Angular 4",,projects,"difficult,enhancement","",,open,undefined
https://github.com/blackbaud/skyux2/issues/548,548,"Full page modal needs larger header text","The full page modal should have larger text in the header compared to regular modals (see SkyUX version).
The header text should be ""sky-section-heading"" style and the ""close"" icon should be 20px. ",projects,"beginner,sky-modal","",,open,undefined
https://github.com/blackbaud/skyux2/issues/546,546,"Sky-Wait Component doesn't hide absolute positioned elements","### Expected behavior
`sky-wait` will hide our honeycomb component (grid of hexagons), while we load data to bind to it

### Actual behavior
`sky-wait` doesn't hide our honeycomb component while waiting

### Steps to reproduce
try using a `sky-wait` to hide an element with ""position: absolute;"" CSS

### Plunker 
https://plnkr.co/edit/lls3WrKdGmO9hYux0Wyl?p=preview
",projects,"bug,sky-wait","Blackbaud-PatrickOFriel",Block 2 Sprint 7 - 4/14/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/545,545,"Make background for wait semi-transparent","@Blackbaud-JonathanBell ",projects,"beginner,sky-wait","Blackbaud-PatrickOFriel",Block 2 Sprint 7 - 4/14/2017,closed,undefined
https://github.com/blackbaud/skyux2/issues/542,542,"Closeable Tab has too much right padding","There is too much padding to the right of the close ""x"" on closeable tabs. Should be $padding-half I think. ",projects,"beginner,sky-tabset","",,open,undefined
https://github.com/blackbaud/skyux2/issues/541,541,"Wizard action bar does not match SkyUX","Action bar buttons should have 10px margin between them, currently they are too crunched together.
Action bar is missing a Cancel button - is this just something that goes in the demo or part of the component?
",projects,"beginner,sky-modal","",,open,undefined
https://github.com/blackbaud/skyux2/issues/539,539,"Pagination styling missing some interactions","Cursor should not change to clickable finger when hovering over a disabled left/right arrow.
Page button background should have gray hover state like other buttons.",projects,"beginner","",,open,undefined
https://github.com/blackbaud/skyux2/issues/538,538,"Search placeholder text should be italic","Search placeholder text should be italic rather than regular face. ",projects,"beginner,sky-search","",,open,undefined
